"Index","Ensembl.ID","Gene.name"
579,"ENSG00000242411","AC011506.1"
580,"ENSG00000118094","TREH"
581,"ENSG00000270507","AL049861.1"
582,"ENSG00000048162","NOP16"
583,"ENSG00000146535","GNA12"
584,"ENSG00000135547","HEY2"
585,"ENSG00000168306","ACOX2"
586,"ENSG00000280341","AP000542.3"
587,"ENSG00000064102","INTS13"
588,"ENSG00000148426","PROSER2"
589,"ENSG00000115685","PPP1R7"
590,"ENSG00000249916","AC119150.1"
591,"ENSG00000271200","AC099791.2"
592,"ENSG00000276669","Metazoa_SRP"
593,"ENSG00000228404","AP001468.1"
594,"ENSG00000253538","AC008662.2"
595,"ENSG00000275859","MIR6720"
596,"ENSG00000249309","AC020703.1"
597,"ENSG00000167332","OR51E2"
598,"ENSG00000255236","AP002992.1"
599,"ENSG00000235382","MTND4P31"
600,"ENSG00000130649","CYP2E1"
601,"ENSG00000100029","PES1"
602,"ENSG00000248574","ADAM20P2"
604,"ENSG00000259248","USP3-AS1"
605,"ENSG00000211685","IGLC7"
606,"ENSG00000268620","AC078899.3"
607,"ENSG00000207620","MIR516A2"
608,"ENSG00000255508","AP002990.1"
609,"ENSG00000119471","HSDL2"
610,"ENSG00000252540","RNU6-919P"
611,"ENSG00000229086","LINC01548"
612,"ENSG00000228929","RPS13P2"
613,"ENSG00000264054","RPL31P9"
614,"ENSG00000231061","LINC00395"
615,"ENSG00000172345","STARD5"
616,"ENSG00000224650","IGHV3-74"
617,"ENSG00000236461","AL162425.1"
618,"ENSG00000132300","PTCD3"
619,"ENSG00000229107","ABHD17AP4"
620,"ENSG00000211779","TRAV5"
621,"ENSG00000175894","TSPEAR"
622,"ENSG00000213777","AC011487.1"
623,"ENSG00000223985","LINC01874"
624,"ENSG00000100197","CYP2D6"
625,"ENSG00000162076","FLYWCH2"
626,"ENSG00000182667","NTM"
627,"ENSG00000250813","SERF1AP1"
628,"ENSG00000274010","AC006011.2"
629,"ENSG00000260933","AC091489.2"
630,"ENSG00000197919","IFNA1"
631,"ENSG00000263878","DLGAP1-AS4"
632,"ENSG00000226806","AC011893.1"
633,"ENSG00000255460","ZDHHC20P3"
634,"ENSG00000267567","AC008736.2"
635,"ENSG00000250694","AC010387.1"
636,"ENSG00000242976","RN7SL177P"
637,"ENSG00000225675","LINC01771"
638,"ENSG00000249741","AC093890.1"
639,"ENSG00000206617","RNY1P5"
640,"ENSG00000207249","SNORA72"
641,"ENSG00000266586","AC091027.2"
642,"ENSG00000264212","AC103808.1"
643,"ENSG00000204519","ZNF551"
644,"ENSG00000201699","RNU1-59P"
645,"ENSG00000229117","RPL41"
646,"ENSG00000225716","ELOCP13"
647,"ENSG00000251810","RN7SKP132"
648,"ENSG00000057149","SERPINB3"
649,"ENSG00000200034","RNU4-73P"
650,"ENSG00000277746","AC108706.1"
651,"ENSG00000100628","ASB2"
652,"ENSG00000251919","RNU7-105P"
653,"ENSG00000243250","RPS6P16"
654,"ENSG00000272461","AP005328.2"
655,"ENSG00000158481","CD1C"
656,"ENSG00000243543","WFDC6"
657,"ENSG00000271419","AL035410.2"
658,"ENSG00000270863","DDX55P1"
659,"ENSG00000173272","MZT2A"
660,"ENSG00000207546","MIR548C"
661,"ENSG00000214295","FOXO1B"
662,"ENSG00000075914","EXOSC7"
663,"ENSG00000222346","RNA5SP237"
665,"ENSG00000254814","AP003031.1"
666,"ENSG00000225455","TPI1P4"
667,"ENSG00000197444","OGDHL"
668,"ENSG00000233376","AL117382.2"
669,"ENSG00000168811","IL12A"
670,"ENSG00000254081","LINC01299"
671,"ENSG00000137440","FGFBP1"
672,"ENSG00000249908","BRD9P2"
673,"ENSG00000240626","RN7SL150P"
674,"ENSG00000222472","RN7SKP7"
675,"ENSG00000158483","FAM86C1"
676,"ENSG00000212961","HNRNPA1P40"
677,"ENSG00000132031","MATN3"
678,"ENSG00000275894","AL021578.1"
679,"ENSG00000232806","AP001610.2"
680,"ENSG00000165195","PIGA"
681,"ENSG00000254411","AP002512.1"
682,"ENSG00000265737","AP006565.1"
683,"ENSG00000249184","AC107074.1"
684,"ENSG00000070444","MNT"
685,"ENSG00000260694","AC009145.3"
687,"ENSG00000236998","AL354794.2"
688,"ENSG00000066697","MSANTD3"
689,"ENSG00000236317","AC104333.2"
690,"ENSG00000265574","WDR45BP1"
691,"ENSG00000226053","LINC01776"
692,"ENSG00000237390","AL139130.1"
693,"ENSG00000182613","OR2V2"
694,"ENSG00000083444","PLOD1"
695,"ENSG00000247775","SNCA-AS1"
696,"ENSG00000196748","CLPSL2"
697,"ENSG00000235444","PSMB3P2"
698,"ENSG00000200883","Y_RNA"
699,"ENSG00000246526","LINC002481"
700,"ENSG00000236674","AL049636.1"
701,"ENSG00000199910","RNA5S10"
702,"ENSG00000253026","RNU6-464P"
703,"ENSG00000259042","AC244502.3"
704,"ENSG00000007312","CD79B"
705,"ENSG00000273720","AC091812.2"
706,"ENSG00000202440","SNORD42"
707,"ENSG00000145982","FARS2"
708,"ENSG00000274979","AC020656.2"
709,"ENSG00000181381","DDX60L"
710,"ENSG00000277506","RN7SL802P"
711,"ENSG00000112303","VNN2"
712,"ENSG00000214193","SH3D21"
713,"ENSG00000212314","RNU6-1307P"
714,"ENSG00000227335","IGHJ1P"
715,"ENSG00000232987","LINC01219"
716,"ENSG00000239911","PRKAG2-AS1"
717,"ENSG00000241098","LINC01994"
718,"ENSG00000142552","RCN3"
719,"ENSG00000149923","PPP4C"
720,"ENSG00000235141","COX6CP17"
721,"ENSG00000278977","AC003101.3"
722,"ENSG00000226431","AL121929.1"
723,"ENSG00000207972","MIR638"
724,"ENSG00000188385","JAKMIP3"
725,"ENSG00000231434","AL365440.1"
726,"ENSG00000279410","AC099494.1"
727,"ENSG00000272079","AC004233.3"
728,"ENSG00000149925","ALDOA"
729,"ENSG00000254222","AC023866.2"
730,"ENSG00000271321","CTAGE6"
731,"ENSG00000144959","NCEH1"
732,"ENSG00000139613","SMARCC2"
733,"ENSG00000111783","RFX4"
734,"ENSG00000197893","NRAP"
735,"ENSG00000223864","NPM1P19"
